,Code,Country,Region,Religion
122,BRB,Barbados,Latin American and Caribbean Group,Protestant   
123,BLZ,Belize,Latin American and Caribbean Group,Roman Catholic   
124,BOL,Bolivia,Latin American and Caribbean Group,Roman Catholic   
125,BRA,Brazil,Latin American and Caribbean Group,Roman Catholic   
126,CHL,Chile,Latin American and Caribbean Group,Roman Catholic   
127,COL,Colombia,Latin American and Caribbean Group,Roman Catholic   
128,CRI,Costa Rica,Latin American and Caribbean Group,Roman Catholic   
129,CUB,Cuba,Latin American and Caribbean Group,Roman Catholic
130,DMA,Dominica,Latin American and Caribbean Group,Roman Catholic   
131,DOM,Dominican Republic,Latin American and Caribbean Group,Roman Catholic   
132,ECU,Ecuador,Latin American and Caribbean Group,Roman Catholic   
133,SLV,El Salvador,Latin American and Caribbean Group,Roman Catholic   
134,GRD,Grenada,Latin American and Caribbean Group,Roman Catholic   
135,GTM,Guatemala,Latin American and Caribbean Group,Roman Catholic
136,GUY,Guyana,Latin American and Caribbean Group,Christian   
137,HTI,Haiti,Latin American and Caribbean Group,Roman Catholic   
138,HND,Honduras,Latin American and Caribbean Group,Roman Catholic   
139,JAM,Jamaica,Latin American and Caribbean Group,Protestant   . 
140,MEX,Mexico,Latin American and Caribbean Group,Roman Catholic   
141,NIC,Nicaragua,Latin American and Caribbean Group,Roman Catholic   
142,PAN,Panama,Latin American and Caribbean Group,Roman Catholic   
143,PRY,Paraguay,Latin American and Caribbean Group,Roman Catholic   
144,PER,Peru,Latin American and Caribbean Group,Roman Catholic   
145,LCA,St. Lucia,Latin American and Caribbean Group,Roman Catholic   
146,SUR,Suriname,Latin American and Caribbean Group,Hindu   . 
147,URY,Uruguay,Latin American and Caribbean Group,Roman Catholic   
148,VEN,Venezuela,Latin American and Caribbean Group,Roman Catholic   
149,AND,Andorra,Western European and Others Group,Roman Catholic 
150,AUS,Australia,Western European and Others Group,Roman Catholic   
151,AUT,Austria,Western European and Others Group,Roman Catholic   
152,BEL,Belgium,Western European and Others Group,Roman Catholic   
153,CAN,Canada,Western European and Others Group,Roman Catholic   
154,DNK,Denmark,Western European and Others Group,Protestant   
155,FIN,Finland,Western European and Others Group,Protestant   
156,FRA,France,Western European and Others Group,Roman Catholic   
157,DEU,Germany,Western European and Others Group,Protestant   
158,GRC,Greece,Western European and Others Group,Orthodox   
159,ISL,Iceland,Western European and Others Group,Protestant
160,IRL,Ireland,Western European and Others Group,Roman Catholic   
161,ISR,Israel,Western European and Others Group,Judaism   
162,ITA,Italy,Western European and Others Group,Roman Catholic   
163,LIE,Liechtenstein,Western European and Others Group,Roman Catholic
164,LUX,Luxembourg,Western European and Others Group,Roman Catholic   
165,MLT,Malta,Western European and Others Group,Roman Catholic   
166,MCO,Monaco,Western European and Others Group,Roman Catholic   
167,NLD,Netherlands,Western European and Others Group,Roman Catholic   
168,NZL,New Zealand,Western European and Others Group,Anglican   
169,NOR,Norway,Western European and Others Group,Protestant   
170,PRT,Portugal,Western European and Others Group,Roman Catholic   
171,SMR,San Marino,Western European and Others Group,Roman Catholic
172,ESP,Spain,Western European and Others Group,Roman Catholic   
173,SWE,Sweden,Western European and Others Group,Protestant   
174,CHE,Switzerland,Western European and Others Group,Roman Catholic   
175,GBR,United Kingdom,Western European and Others Group,Anglican
