,iso2,Alcohol Consompution Group,Value
531,PT,Alcohol_com2,12.1
390,PT,Mean_Alcom1_religion,7.340540540540541
108,PT,Alcohol_com1,10.6
249,PT,Mean_Alcom1_region,8.454999999999998
672,PT,Mean_Alcom2_region,9.015
813,PT,Mean_Alcom2_religion,7.699999999999999
410,PY,Mean_Alcom1_religion,7.340540540540541
833,PY,Mean_Alcom2_religion,7.699999999999999
269,PY,Mean_Alcom1_region,5.278260869565217
692,PY,Mean_Alcom2_region,5.317391304347827
551,PY,Alcohol_com2,6.7
128,PY,Alcohol_com1,5.8
490,QA,Alcohol_com2,1.1
67,QA,Alcohol_com1,1.3
349,QA,Mean_Alcom1_religion,1.8374999999999995
208,QA,Mean_Alcom1_region,2.2189189189189187
772,QA,Mean_Alcom2_religion,1.991666666666667
631,QA,Mean_Alcom2_region,2.213513513513514
279,RW,Mean_Alcom1_region,2.955813953488373
702,RW,Mean_Alcom2_region,3.0302325581395344
420,RW,Mean_Alcom1_religion,6.9
138,RW,Alcohol_com1,6.9
843,RW,Mean_Alcom2_religion,7.5
561,RW,Alcohol_com2,7.5
694,SA,Mean_Alcom2_region,2.213513513513514
130,SA,Alcohol_com1,0.1
271,SA,Mean_Alcom1_region,2.2189189189189187
553,SA,Alcohol_com2,0.1
835,SA,Mean_Alcom2_religion,0.05
412,SA,Mean_Alcom1_religion,0.05
111,SB,Alcohol_com1,1.0
816,SB,Mean_Alcom2_religion,1.1
534,SB,Alcohol_com2,1.1
252,SB,Mean_Alcom1_region,2.2189189189189187
393,SB,Mean_Alcom1_religion,1.0
675,SB,Mean_Alcom2_region,2.213513513513514
715,SD,Mean_Alcom2_religion,0.7333333333333333
151,SD,Mean_Alcom1_region,2.955813953488373
10,SD,Alcohol_com1,0.0
292,SD,Mean_Alcom1_religion,0.6666666666666666
433,SD,Alcohol_com2,0.0
574,SD,Mean_Alcom2_region,3.0302325581395344
369,SE,Mean_Alcom1_religion,9.016666666666667
651,SE,Mean_Alcom2_region,9.015
792,SE,Mean_Alcom2_religion,9.333333333333334
510,SE,Alcohol_com2,7.3
87,SE,Alcohol_com1,7.2
228,SE,Mean_Alcom1_region,8.454999999999998
828,SI,Mean_Alcom2_religion,10.5
123,SI,Alcohol_com1,10.8
264,SI,Mean_Alcom1_region,9.022222222222222
405,SI,Mean_Alcom1_religion,10.8
687,SI,Mean_Alcom2_region,9.68888888888889
546,SI,Alcohol_com2,10.5
125,SK,Alcohol_com1,10.4
266,SK,Mean_Alcom1_region,9.022222222222222
407,SK,Mean_Alcom1_religion,7.340540540540541
689,SK,Mean_Alcom2_region,9.68888888888889
548,SK,Alcohol_com2,10.7
830,SK,Mean_Alcom2_religion,7.699999999999999
49,SL,Alcohol_com1,3.4
754,SL,Mean_Alcom2_religion,1.991666666666667
331,SL,Mean_Alcom1_religion,1.8374999999999995
190,SL,Mean_Alcom1_region,2.955813953488373
472,SL,Alcohol_com2,3.9
613,SL,Mean_Alcom2_region,3.0302325581395344
460,SN,Alcohol_com2,0.3
178,SN,Mean_Alcom1_region,2.955813953488373
319,SN,Mean_Alcom1_religion,1.8374999999999995
37,SN,Alcohol_com1,0.3
601,SN,Mean_Alcom2_region,3.0302325581395344
742,SN,Mean_Alcom2_religion,1.991666666666667
8,SO,Alcohol_com1,0.0
713,SO,Mean_Alcom2_religion,0.7333333333333333
290,SO,Mean_Alcom1_religion,0.6666666666666666
431,SO,Alcohol_com2,0.0
572,SO,Mean_Alcom2_region,3.0302325581395344
149,SO,Mean_Alcom1_region,2.955813953488373
594,SR,Mean_Alcom2_region,5.317391304347827
735,SR,Mean_Alcom2_religion,5.4
453,SR,Alcohol_com2,5.4
171,SR,Mean_Alcom1_region,5.278260869565217
30,SR,Alcohol_com1,4.3
312,SR,Mean_Alcom1_religion,4.3
590,SV,Mean_Alcom2_region,5.317391304347827
731,SV,Mean_Alcom2_religion,7.699999999999999
308,SV,Mean_Alcom1_religion,7.340540540540541
449,SV,Alcohol_com2,2.4
167,SV,Mean_Alcom1_region,5.278260869565217
26,SV,Alcohol_com1,2.7
575,TD,Mean_Alcom2_region,3.0302325581395344
434,TD,Alcohol_com2,0.6
152,TD,Mean_Alcom1_region,2.955813953488373
293,TD,Mean_Alcom1_religion,1.8374999999999995
716,TD,Mean_Alcom2_religion,1.991666666666667
11,TD,Alcohol_com1,0.7
326,TG,Mean_Alcom1_religion,1.7
467,TG,Alcohol_com2,1.4
608,TG,Mean_Alcom2_region,3.0302325581395344
185,TG,Mean_Alcom1_region,2.955813953488373
44,TG,Alcohol_com1,1.7
749,TG,Mean_Alcom2_religion,1.4
637,TH,Mean_Alcom2_region,2.213513513513514
496,TH,Alcohol_com2,6.9
73,TH,Alcohol_com1,6.6
778,TH,Mean_Alcom2_religion,2.58
355,TH,Mean_Alcom1_religion,2.9199999999999995
214,TH,Mean_Alcom1_region,2.2189189189189187
788,TJ,Mean_Alcom2_religion,0.7
365,TJ,Mean_Alcom1_religion,0.9
506,TJ,Alcohol_com2,0.7
83,TJ,Alcohol_com1,0.9
647,TJ,Mean_Alcom2_region,2.213513513513514
224,TJ,Mean_Alcom1_region,2.2189189189189187
85,TM,Alcohol_com1,3.4
790,TM,Mean_Alcom2_religion,1.991666666666667
226,TM,Mean_Alcom1_region,2.2189189189189187
367,TM,Mean_Alcom1_religion,1.8374999999999995
649,TM,Mean_Alcom2_region,2.213513513513514
508,TM,Alcohol_com2,3.2
768,TN,Mean_Alcom2_religion,0.7333333333333333
627,TN,Mean_Alcom2_region,3.0302325581395344
63,TN,Alcohol_com1,1.4
204,TN,Mean_Alcom1_region,2.955813953488373
345,TN,Mean_Alcom1_religion,0.6666666666666666
486,TN,Alcohol_com2,1.3
241,TR,Mean_Alcom1_region,2.2189189189189187
242,TR,Mean_Alcom1_region,8.454999999999998
523,TR,Alcohol_com2,1.5
524,TR,Alcohol_com2,1.5
664,TR,Mean_Alcom2_region,2.213513513513514
665,TR,Mean_Alcom2_region,9.015
101,TR,Alcohol_com1,1.3
383,TR,Mean_Alcom1_religion,0.6666666666666666
