INDICATOR,HFA_426,,,
,,,,
HFA_426,"Pure alcohol consumption, litres per capita, age 15+",,,
,,,,
UNIT_TYPE,Unit,,,
LITRES_PCAPITA,litres per capita,,,
,,,,
EXTERNID,ID in the originating data source,,,
,,,,
DATA_SOURCE,Data source,,,
HFA,European Health for All database,,,
,,,,
DATA_TYPE_REPRESENTATION,Data type representation,,,
RATIO,Ratio,,,
,,,,
DATA_SET,Data set,,,
HFA,European Health for All database (WHO),,,
,,,,
DATA_MASK,Mask for controlling the output format of values,,,
,,,,
AUT,,ALL,2013,11.82
SWE,,ALL,1991,7.47
BIH,,ALL,2006,4.82
FIN,,ALL,2007,10.45
CHE,,ALL,1990,12.99
FIN,,ALL,1989,9.42
CHE,,ALL,1994,11.79
POL,,ALL,1985,8.5
ALB,,ALL,1978,1.65
ALB,,ALL,1975,1.35
ALB,,ALL,1983,1.68
ISR,,ALL,2004,2.23
,SEEHN,ALL,2012,7.96
CYP,,ALL,2005,11.41
SVK,,ALL,2000,11.06
BIH,,ALL,2002,3.84
FIN,,ALL,1987,8.75
MDA,,ALL,2000,9.89
SVN,,ALL,1985,15.07
BEL,,ALL,1984,13.26
,EU_AFTER_MAY2004,ALL,1984,11.24
BLR,,ALL,2004,12.05
ALB,,ALL,1988,1.67
,CARINFONET,ALL,2004,3.01
BIH,,ALL,2000,3.64
CHE,,ALL,1997,11.21
SRB,,ALL,2005,9.6
GBR,,ALL,2012,10.42
ALB,,ALL,1971,1.2
UKR,,ALL,1983,6.99
SVN,,ALL,1990,13.79
,EU_AFTER_MAY2004,ALL,2002,10.03
SVN,,ALL,1995,13.36
DNK,,ALL,1993,11.89
CZE,,ALL,1977,14.2
CZE,,ALL,1980,13.99
NLD,,ALL,2009,9.23
EST,,ALL,2010,14.97
,EU_AFTER_MAY2004,ALL,1985,11.1
,EU_AFTER_MAY2004,ALL,1974,10.92
PRT,,ALL,2009,12.03
BGR,,ALL,1980,10.84
DNK,,ALL,1979,11.41
,EU_MEMBERS,ALL,1997,11.12
HRV,,ALL,2006,11.83
FIN,,ALL,1984,8.06
,SEEHN,ALL,2000,7.79
CHE,,ALL,1991,12.9
ALB,,ALL,1984,1.58
GRC,,ALL,1999,9.47
ALB,,ALL,1974,1.58
IRL,,ALL,2009,11.41
SVN,,ALL,1983,17.28
HUN,,ALL,1986,16.67
SVK,,ALL,2001,10.73
UZB,,ALL,1998,1.73
CHE,,ALL,2001,11.12
ITA,,ALL,1983,14.55
,CARINFONET,ALL,2006,3.23
LUX,,ALL,1977,18.59
SWE,,ALL,1983,6.96
IRL,,ALL,1972,12
,CARINFONET,ALL,2005,3.14
ITA,,ALL,1992,10.55
PRT,,ALL,1988,12.92
UKR,,ALL,1986,4.39
NOR,,ALL,1970,4.84
,SEEHN,ALL,2005,7.28
FIN,,ALL,1994,8.16
LUX,,ALL,1981,17.04
DNK,,ALL,1980,11.5
TKM,,ALL,1993,0.55
BGR,,ALL,2004,10.96
SVN,,ALL,1994,13.38
,EU_AFTER_MAY2004,ALL,1995,10.16
GEO,,ALL,2007,8.65
LUX,,ALL,1999,12.92
LUX,,ALL,1998,12.88
,NORDIC,ALL,1989,8.36
NLD,,ALL,2011,8.96
BGR,,ALL,2011,10.67
ITA,,ALL,1991,10.82
DNK,,ALL,1999,11.62
AZE,,ALL,1994,1.37
ITA,,ALL,2012,7.49
LTU,,ALL,1988,7.11
ISR,,ALL,2008,2.47
HUN,,ALL,1982,16.82
UZB,,ALL,2001,1.53
CHE,,ALL,1999,11.05
ALB,,ALL,1981,1.84
CHE,,ALL,1996,11.33
BIH,,ALL,2013,4.12
ITA,,ALL,2004,8.98
GRC,,ALL,1974,10.88
GRC,,ALL,1996,9.67
GRC,,ALL,1991,10.18
SWE,,ALL,1977,8.41
NLD,,ALL,1975,11.41
DNK,,ALL,1976,11.84
,CARINFONET,ALL,2008,3.49
BGR,,ALL,1977,10.52
SWE,,ALL,1980,7.65
POL,,ALL,1990,8.16
FIN,,ALL,1995,8.31
,SMALL,ALL,1970,7.31
KAZ,,ALL,1996,3.08
ALB,,ALL,1972,1.56
CYP,,ALL,2008,12.01
IRL,,ALL,2014,10.75
DEU,,ALL,1992,13.84
AUT,,ALL,2002,12.5
DEU,,ALL,1993,13.5
MDA,,ALL,2002,6.71
,NORDIC,ALL,1975,8.63
MNE,,ALL,2007,4.98
SRB,,ALL,2000,7.38
PRT,,ALL,2006,13.11
CHE,,ALL,1980,14.25
,EU_MEMBERS,ALL,2004,11.26
LVA,,ALL,1994,9.59
LUX,,ALL,1994,13.61
CHE,,ALL,2013,9.73
GRC,,ALL,1978,11.39
KAZ,,ALL,2007,7.44
UZB,,ALL,1997,1.67
HUN,,ALL,2007,12.55
HUN,,ALL,2008,11.64
POL,,ALL,1982,8.54
,SEEHN,ALL,2003,7.29
BLR,,ALL,2014,13.94
,CIS,ALL,2010,8.6
,EU_AFTER_MAY2004,ALL,1980,12.18
NLD,,ALL,1972,8.76
CHE,,ALL,2010,10.01
NLD,,ALL,2010,9.33
MLT,,ALL,1997,6.46
ALB,,ALL,1970,1.77
UKR,,ALL,1982,6.96
ITA,,ALL,1987,11.76
ITA,,ALL,1988,11.41
UKR,,ALL,1984,7.08
POL,,ALL,1987,9.41
GBR,,ALL,2014,10.37
LUX,,ALL,1979,18.03
AND,,ALL,2001,11.59
SWE,,ALL,1982,7.29
,EU_BEFORE_MAY2004,ALL,1994,11.59
,EU_AFTER_MAY2004,ALL,1978,12.16
SRB,,ALL,2009,9.85
ISR,,ALL,1981,2.8
,SMALL,ALL,2009,9.34
DNK,,ALL,1981,12.09
,EU_AFTER_MAY2004,ALL,2006,10.77
DNK,,ALL,1989,11.65
,EU_AFTER_MAY2004,ALL,1998,9.95
CZE,,ALL,1975,13.33
LUX,,ALL,2000,13.14
LUX,,ALL,1997,13.03
CHE,,ALL,1977,14.04
,WHO_EURO,ALL,1994,8.97
POL,,ALL,1974,9.01
,SMALL,ALL,1986,7.98
BLR,,ALL,1987,5.71
BLR,,ALL,2008,14.67
RUS,,ALL,2013,10.58
LTU,,ALL,1985,11.56
CHE,,ALL,2007,10.44
FIN,,ALL,1985,8.02
,EU_AFTER_MAY2004,ALL,2012,10.95
ALB,,ALL,1977,1.37
BIH,,ALL,2005,4.56
NLD,,ALL,1971,8.09
CHE,,ALL,2011,9.99
CHE,,ALL,1993,12.33
POL,,ALL,2011,10.93
UZB,,ALL,1999,1.71
,SEEHN,ALL,2009,8.27
,CIS,ALL,2013,8.34
SRB,,ALL,2007,9.3
UKR,,ALL,1975,7.48
,EU_AFTER_MAY2004,ALL,1981,12.32
NLD,,ALL,1974,10.34
,CARINFONET,ALL,2003,3.01
LTU,,ALL,2013,15.04
SWE,,ALL,1984,6.82
TUR,,ALL,1982,1.26
,SMALL,ALL,1972,7.48
CYP,,ALL,2001,10.16
LVA,,ALL,1991,6.74
IRL,,ALL,1985,11.62
SVN,,ALL,1988,14.96
UKR,,ALL,1989,5.32
ARM,,ALL,1997,2.84
LUX,,ALL,1985,15.74
ALB,,ALL,1997,2.22
SRB,,ALL,2002,6.95
TKM,,ALL,2003,2.88
TKM,,ALL,2010,2.48
LVA,,ALL,2002,7.44
BIH,,ALL,2001,3.85
,WHO_EURO,ALL,1993,9.11
FRA,,ALL,2012,11.5
,EU_BEFORE_MAY2004,ALL,1980,15.21
RUS,,ALL,1986,5.29
ITA,,ALL,2011,6.98
HUN,,ALL,1999,12.09
CHE,,ALL,1988,14.03
ISR,,ALL,2010,2.63
SVK,,ALL,2003,9.85
UZB,,ALL,2002,1.47
,SEEHN,ALL,2004,7.91
,EU_MEMBERS,ALL,2006,11.02
