,Number,iso3,Country,Region,Religion
117,117,SVK,Slovakia,Eastern European Group,Roman Catholic
118,118,SVN,Slovenia,Eastern European Group,Catholic
119,119,UKR,Ukraine,Eastern European Group,Orthodox
120,120,ARG,Argentina,Latin American and Caribbean Group,Roman Catholic
121,121,BHS,Bahamas,Latin American and Caribbean Group,Baptist
122,122,BRB,Barbados,Latin American and Caribbean Group,Protestant
123,123,BLZ,Belize,Latin American and Caribbean Group,Roman Catholic
124,124,BOL,Bolivia,Latin American and Caribbean Group,Roman Catholic
125,125,BRA,Brazil,Latin American and Caribbean Group,Roman Catholic
126,126,CHL,Chile,Latin American and Caribbean Group,Roman Catholic
127,127,COL,Colombia,Latin American and Caribbean Group,Roman Catholic
128,128,CRI,Costarica,Latin American and Caribbean Group,Roman Catholic
129,129,CUB,Cuba,Latin American and Caribbean Group,Roman Catholic
130,130,DMA,Dominica,Latin American and Caribbean Group,Roman Catholic
131,131,DOM,Dominicanrepublic,Latin American and Caribbean Group,Roman Catholic
132,132,ECU,Ecuador,Latin American and Caribbean Group,Roman Catholic
133,133,SLV,Elsalvador,Latin American and Caribbean Group,Roman Catholic
134,134,GRD,Grenada,Latin American and Caribbean Group,Roman Catholic
135,135,GTM,Guatemala,Latin American and Caribbean Group,Roman Catholic
136,136,GUY,Guyana,Latin American and Caribbean Group,Christian
137,137,HTI,Haiti,Latin American and Caribbean Group,Roman Catholic
138,138,HND,Honduras,Latin American and Caribbean Group,Roman Catholic
139,139,JAM,Jamaica,Latin American and Caribbean Group,Protestant
140,140,MEX,Mexico,Latin American and Caribbean Group,Roman Catholic
141,141,NIC,Nicaragua,Latin American and Caribbean Group,Roman Catholic
142,142,PAN,Panama,Latin American and Caribbean Group,Roman Catholic
143,143,PRY,Paraguay,Latin American and Caribbean Group,Roman Catholic
144,144,PER,Peru,Latin American and Caribbean Group,Roman Catholic
145,145,LCA,St.lucia,Latin American and Caribbean Group,Roman Catholic
146,146,SUR,Suriname,Latin American and Caribbean Group,Hindu
147,147,URY,Uruguay,Latin American and Caribbean Group,Roman Catholic
148,148,VEN,Venezuela,Latin American and Caribbean Group,Roman Catholic
149,149,AND,Andorra,Western European and Others Group,Roman Catholic
150,150,AUS,Australia,Western European and Others Group,Roman Catholic
151,151,AUT,Austria,Western European and Others Group,Roman Catholic
152,152,BEL,Belgium,Western European and Others Group,Roman Catholic
153,153,CAN,Canada,Western European and Others Group,Roman Catholic
154,154,DNK,Denmark,Western European and Others Group,Protestant
155,155,FIN,Finland,Western European and Others Group,Protestant
156,156,FRA,France,Western European and Others Group,Roman Catholic
157,157,DEU,Germany,Western European and Others Group,Protestant
158,158,GRC,Greece,Western European and Others Group,Orthodox
159,159,ISL,Iceland,Western European and Others Group,Protestant
160,160,IRL,Ireland,Western European and Others Group,Roman Catholic
161,161,ISR,Israel,Western European and Others Group,Judaism
